A, 9, 6, 116.32, 112.72, 86.25, 8, 84
A, 10, 8, 128.82, 152.22, 86.25, 0, 84
B, 6, 1, 19.189, 73.22, 11.25, 37, 60
A, 14, 1, 181.569, 17.438, 86.25, 18, 36
A, 11, 6, 142.7, 112.72, 86.25, 24, 0
A, 7, 9, 89.94, 170.564, 86.25, 7, 84
B, 4, 4, 19.189, 132.47, 36.25, 10, 48
A, 12, 4, 155.2, 73.22, 86.25, 25, 12
A, 8, 7, 103.82, 132.47, 86.25, 6, 72
B, 5, 2, 19.189, 92.97, 23.75, 36, 60
G, 0, 0, 237.5, 0.0, 86.25, 12, 0
A, 13, 2, 167.7, 34.876, 86.25, 15, 24
A, 9, 5, 116.32, 92.97, 86.25, 3, 84
A, 10, 7, 128.82, 132.47, 86.25, 6, 96
B, 6, 0, 19.189, 53.47, 11.25, 13, 72
A, 14, 0, 181.569, 0.0, 86.25, 11, 36
B, 3, 5, 19.189, 152.22, 48.75, 27, 36
A, 16, 11, 206.569, 204.44, 86.25, 20, 60
A, 11, 5, 142.7, 92.97, 86.25, 30, 0
A, 7, 8, 89.94, 152.22, 86.25, 0, 48
B, 4, 3, 19.189, 112.72, 36.25, 28, 48
A, 12, 3, 155.2, 53.47, 86.25, 9, 12
A, 3, 11, 38.57, 204.44, 86.25, 5, 36
A, 8, 6, 103.82, 112.72, 86.25, 8, 72
B, 5, 1, 19.189, 73.22, 23.75, 37, 48
A, 13, 1, 167.7, 17.438, 86.25, 18, 24
A, 9, 4, 116.32, 73.22, 86.25, 14, 84
A, 10, 6, 128.82, 112.72, 86.25, 8, 96
A, 5, 11, 64.94, 204.44, 86.25, 5, 60
A, 6, 9, 77.44, 170.564, 86.25, 7, 72
B, 3, 4, 19.189, 132.47, 48.75, 10, 36
A, 16, 10, 206.569, 187.502, 86.25, 22, 60
A, 11, 4, 142.7, 73.22, 86.25, 25, 0
A, 7, 7, 89.94, 132.47, 86.25, 6, 60
B, 4, 2, 19.189, 92.97, 36.25, 36, 48
A, 12, 2, 155.2, 34.876, 86.25, 15, 12
A, 3, 10, 38.57, 187.502, 86.25, 17, 36
A, 8, 5, 103.82, 92.97, 86.25, 3, 72
B, 5, 0, 19.189, 53.47, 23.75, 13, 60
C, 6, 0, 60.0, 213.814, 11.25, 26, 60
A, 13, 0, 167.7, 0.0, 86.25, 11, 24
B, 2, 5, 19.189, 152.22, 61.25, 27, 24
A, 9, 3, 116.32, 53.47, 86.25, 23, 84
A, 10, 5, 128.82, 92.97, 86.25, 3, 96
A, 5, 10, 64.94, 187.502, 86.25, 17, 60
B, 3, 3, 19.189, 112.72, 48.75, 28, 36
A, 11, 3, 142.7, 53.47, 86.25, 9, 0
A, 7, 6, 89.94, 112.72, 86.25, 8, 60
B, 4, 1, 19.189, 73.22, 36.25, 37, 36
G, 1, 0, 238.25, 0.0, 75.125, 12, 12
B, 2, 1, 19.189, 73.22, 61.25, 37, 72
B, 5, 4, 19.189, 132.47, 23.75, 10, 72
C, 1, 0, 60, 213.814, 73.75, 26, 72
E, 5, 0, 248, 195.625, 23.75, 35, 72
I, 5, 0, 159.161, -9.915, 23.75, 16, 72
J, 2, 0, 60, -9.915, 61.25, 2, 72
A, 12, 5, 155.2, 92.97, 86.25, 30, 96
A, 9, 1, 116.32, 17.438, 86.25, 32, 120
A, 15, 9, 194.069, 170.564, 86.25, 1, 96
A, 18, 4, 232.944, 73.22, 86.25, 25, 96
A, 6, 8, 77.44, 152.22, 86.25, 0, 96
